,station_id,name,old_name,type,oos,lat,lon
0,,,Willow Beach 1 (NPS) RAIN (old) (Rain),,,,
1,2.0,Willow Beach 2 (NPS),Willow Beach 2 (NPS) RAIN (Rain),NPS System,False,35.87789,-114.58875
2,,,Willow Beach 3 (NPS) RAIN (Rain),,,,
3,4.0,Malpais Flattop Mesa (NPS),Malpais Flattop Mesa (NPS) RAIN (Rain),NPS System,False,35.82014,-114.66325
4,5.0,Householder Pass (NPS),Householder Pass (NPS) RAIN (Rain),NPS System,False,35.82578,-114.59625
5,,,Chalk Cliffs (NPS) RAIN (old) (Rain),,,,
6,7.0,Eldorado (NPS) - New Repeater,Eldorado (NPS) RAIN (Rain),NPS System,False,35.74642,-114.576
7,8.0,Willow Beach 8 (NPS),Willow Beach 8 (NPS) RAIN (Rain),NPS System,False,35.961,-114.62764
8,11.0,Black Mtn North (NPS),Black Mtn North (NPS) RAIN (Rain),NPS System,False,35.49339,-114.755
9,12.0,Black Mtn South (NPS),Black Mtn South (NPS) RAIN (Rain),NPS System,False,35.48725,-114.736
10,13.0,Bill Gays Butte (NPS),Bill Gays Butte (NPS) RAIN (Rain),NPS System,False,35.45042,-114.747
11,14.0,Cottonwood Cove West (NPS),Cottonwood Cove West (NPS) RAIN (Rain),NPS System,False,35.49181,-114.706
12,,,Cottonwood Cove East (NPS) RAIN (old) (Rain),,,,
13,,,Meadow Valley Wash near Caliente WL (USGS) (unknown type),,,,
14,,,Muddy River near Moapa WL (USGS) (unknown type),,,,
15,,,Muddy River near Glendale WL (USGS) (unknown type),,,,
16,,,Virgin River above Lake Mead near Overton WL (USGS) (unknown type),,,,
17,,,Beaver Dam Wash WL (USGS) (unknown type),,,,
18,,,Virgin at Littlefield WL (USGS) (unknown type),,,,
19,,,Santa Clara at St. George WL (USGS) (unknown type),,,,
20,,,Bloomington at St. George WL (USGS) (unknown type),,,,
21,,,Hurricane WL (USGS) (unknown type),,,,
22,,,Meadow Valley Wash near Caliente Discharge (USGS) (unknown type),,,,
23,,,Muddy River near Moapa Discharge (USGS) (unknown type),,,,
24,,,Muddy River near Glendale Discharge (USGS) (unknown type),,,,
25,,,Virgin River above Lake Mead near Overton Discharge (USGS) (unknown type),,,,
26,,,Beaver Dam Wash Discharge (USGS) (unknown type),,,,
27,,,Virgin at Littlefield Discharge (USGS) (unknown type),,,,
28,,,Santa Clara at St. George Discharge (USGS) (unknown type),,,,
29,,,Bloomington at St. George Discharge (USGS) (unknown type),,,,
30,,,Hurricane Discharge (USGS) (unknown type),,,,
31,,,Warm Springs Inflow Near Moapa (USGS) (unknown type),,,,
32,,,Willow Beach 2 (NPS) Battery Voltage (unknown type),,,,
33,,,Willow Beach 3 (NPS) Battery Voltage (unknown type),,,,
